Number of deaths from earthquakes,Number of people injured from earthquakes,Number of people affected by earthquakes,Number of people left homeless from earthquakes,Number of total people affected by earthquakes,Reconstruction costs from earthquakes,Insured damages against earthquakes,Total economic damages from earthquakes,Death rates from earthquakes,Injury rates from earthquakes,"Number of people affected by earthquakes per 100,000",Homelessness rate from earthquakes,"Total number of people affected by earthquakes per 100,000",Total economic damages from earthquakes as a share of GDP,Entity,Year
0,0,0,0,0,,,,0,0,0,0,0,,Tonga,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tonga,1960
0.1,0.5,500,50,550.5,0,0,120,0.111111111,0.555555556,555.5555556,55.55555556,611.6666667,0.351500151,Tonga,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tonga,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tonga,1990
0.9,0.7,50,0,50.7,0,0,950,0.865384615,0.673076923,48.07692308,0,48.75,0.304119332,Tonga,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tonga,2010
0,0,0,0,0,,,,0,0,0,0,0,,Trinidad and Tobago,1930
0,0,0,0,0,,,,0,0,0,0,0,,Trinidad and Tobago,1940
0,0,0,0,0,,,,0,0,0,0,0,,Trinidad and Tobago,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,1980
0,0.2,0,1.5,1.7,0,0,2500,0,0.015873016,0,0.119047619,0.134920635,0.043571076,Trinidad and Tobago,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,2010
1.3,0,0,0,0,,,,0.032234069,0,0,0,0,,Tunisia,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tunisia,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tunisia,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tunisia,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tunisia,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tunisia,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tunisia,2010
640,0,6000,0,6000,,,,4.48602457,0,42.04064447,0,42.04064447,,Turkey,1900
492.3,227.5,0,6762,6989.5,,,,3.2821989,1.515266755,0,45.0776113,46.59287805,,Turkey,1910
36.3,20.9,0,726.9,747.8,,,,0.255715821,0.143268126,0,5.136141025,5.279409151,,Turkey,1920
3384.4,86.8,0,0,86.8,,,,19.27860599,0.503324879,0,0,0.503324879,,Turkey,1930
1445,535.5,0,0,535.5,,,,7.748262372,2.867537113,0,0,2.867537113,,Turkey,1940
158.1,51.9,5000,0,5051.9,,,,0.687035957,0.226039933,21.66190105,0,21.88794098,,Turkey,1950
281,253,36971.3,9700,46924.3,0,0,2800,0.882723312,0.786046274,114.8553233,29.79433994,145.4357095,0.020575172,Turkey,1960
828.2,2246.7,34154.7,9096.5,45497.9,0,0,10260,2.14461763,5.753709684,90.22552998,23.44510369,119.4243434,0.044299073,Turkey,1970
136.7,132.7,157131.5,3325,160589.2,0,0,2500,0.290178179,0.280108375,330.0829006,7.060259453,337.4232685,0.004053291,Turkey,1980
1887.6,5650.4,276759,88710,371119.4,3500000,201080,2253580,3.044131818,9.153148867,454.1786275,144.9177639,608.2495403,0.900133966,Turkey,1990
25.2,145,53146,7500,60791,0,100,23000,0.038178644,0.220901818,80.97949704,11.41411166,92.61451051,0.008245437,Turkey,2000
69.9,512.1,1170.5,3207.5,4890.1,0,9400,174400,0.095266699,0.690131953,1.577977906,4.367332489,6.635442347,0.020792524,Turkey,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkmenistan,1990
1.1,0,0,0,0,0,0,0,0.024357839,0,0,0,0,0,Turkmenistan,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turks and Caicos Islands,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turks and Caicos Islands,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turks and Caicos Islands,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turks and Caicos Islands,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuvalu,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuvalu,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuvalu,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuvalu,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuvalu,2010
10.4,51,500,0,551,0,0,150,0.125862278,0.617209246,6.05107104,0,6.668280286,0.016202723,Uganda,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uganda,1970
0,0,200,0,200,0,0,0,0,0,1.236093943,0,1.236093943,0,Uganda,1980
0.7,0,5000,0,5000,0,0,7000,0.003536425,0,25.26017985,0,25.26017985,0.175419672,Uganda,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uganda,2000
0.4,0,0,59,59,0,0,0,0.001008853,0,0,0.148805771,0.148805771,0,Uganda,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ukraine,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ukraine,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ukraine,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Arab Emirates,2010
0,0,0,0,0,,,,0,0,0,0,0,,United Kingdom,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,1990
0,0.1,450,0,450.1,0,3000,6000,0,0.000162721,0.732243105,0,0.732405825,0.000193961,United Kingdom,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2010
70,0,0,8456.4,8456.4,,,,0.080249954,0,0,9.694653051,9.694653051,,United States,1900
0.6,0,0,0,0,,,,0.000583715,0,0,0,0,,United States,1910
2.6,0,0,0,0,,,,0.002195543,0,0,0,0,,United States,1920
11.6,0,0,0,0,,,,0.009022016,0,0,0,0,,United States,1930
18.2,0,0,0,0,,,,0.012559188,0,0,0,0,,United States,1940
4.2,20,0,27,47,,,,0.002381007,0.012249948,0,0.01653743,0.028787378,,United States,1950
19.9,0,0,0,0,0,0,91400,0.010253375,0,0,0,0,0.015494817,United States,1960
6.5,201.1,156,0,357.1,0,3500,56075,0.003074973,0.095125743,0.071206543,0,0.166332285,0.004800683,United States,1970
7.7,393.3,415,1.5,809.8,0,3000,586997,0.003094135,0.157720851,0.171519776,0.000600658,0.329841285,0.01051859,United States,1980
6.5,755.6,334.5,2000,3090.1,0,1045500,3033080,0.002482519,0.288625082,0.128932215,0.762657274,1.18021457,0.041679121,United States,1990
0.3,52.3,3061.9,22.4,3136.6,0,34500,240000,0.000104145,0.018354114,1.074813022,0.007832285,1.100999421,0.002221935,United States,2000
0.1,28,387,0,415,0,20000,93250,0.0000314,0.008815872,0.121830531,0,0.130646403,0.0005117,United States,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States Virgin Islands,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States Virgin Islands,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States Virgin Islands,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,United States Virgin Islands,2010
3035.7,6,17748,0,17754,,,,0.462180437,0.000940245,2.713926894,0,2.714867138,,Upper middle income,1900
3947.2,242.9,0,6762,7004.9,,,,0.542840068,0.034682175,0,0.956108304,0.990790479,,Upper middle income,1910
24071.5,207.1,0,15338.9,15546,,,,3.137841667,0.02577374,0,1.923192824,1.948966564,,Upper middle income,1920
6167.4,126.2,386,8157.5,8669.7,,,,0.713046719,0.014536066,0.046293642,0.941737068,1.002566776,,Upper middle income,1930
3578.7,5402.1,23400,10673.5,39475.6,,,,0.380182393,0.577512222,2.450694189,1.17282528,4.201031692,,Upper middle income,1940
968.6,928.8,6103,19509.5,26541.3,,,,0.086147728,0.080507214,0.561096036,1.904632986,2.546236237,,Upper middle income,1950
3075.7,1553.3,79861.3,23187.6,104602.2,0,0,32910,0.22400216,0.111626422,5.690355697,1.614991491,7.416973611,0.012807451,Upper middle income,1960
40761.4,42541.6,988006.6,201102.6,1231650.8,0,0,773275,2.3999162,2.552758519,59.87268971,11.42704595,73.85249419,0.097470755,Upper middle income,1970
2154.6,4728.9,522874.8,75921.5,603525.2,0,0,762035,0.106255299,0.234043423,25.58063787,3.589137705,29.403819,0.045297274,Upper middle income,1980
6988.4,22727.7,1540330.6,403787.8,1966846.1,3500000,227580,3519377.5,0.303249744,0.977828951,64.01086669,16.8315927,81.82028834,0.097745304,Upper middle income,1990
30050.9,58758.4,6152602.5,332450.1,6543811,0,137604.1,10335672.5,1.159201412,2.234419108,233.4837623,12.93570167,248.653883,0.089821483,Upper middle income,2000
1256.8,11464.5,1489871.8,38855.7,1540192,494400,372900,3755256.2,0.044965321,0.413819119,53.1333508,1.40780096,54.95497087,0.017657693,Upper middle income,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uruguay,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uruguay,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uruguay,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uruguay,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uruguay,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uruguay,2010
0.9,0,5000,0,5000,0,0,0,0.004210526,0,23.39181287,0,23.39181287,0,Uzbekistan,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uzbekistan,2000
1.3,0,0,0,0,0,0,0,0.004486317,0,0,0,0,0,Uzbekistan,2010
0,0,0,0,0,,,,0,0,0,0,0,,Vanuatu,1940
0,0,0,0,0,,,,0,0,0,0,0,,Vanuatu,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanuatu,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanuatu,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanuatu,1980
1.2,10.2,1200,200,1410.2,0,0,0,0.662983425,5.6609163,662.9834254,110.4972376,779.1415793,0,Vanuatu,1990
0,0.3,100,0,100.3,0,0,0,0,0.154639175,51.54639175,0,51.70103093,0,Vanuatu,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanuatu,2010
10,0,0,0,0,,,,0.182415177,0,0,0,0,,Venezuela,1950
24,153.6,8000,0,8153.6,0,0,14000,0.231660232,1.482625483,77.22007722,0,78.7027027,0.151351351,Venezuela,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Venezuela,1970
0.3,8.6,30,280,318.6,0,0,100,0.001688049,0.051844873,0.183197135,1.493660855,1.728702863,0.000165586,Venezuela,1980
8,68.3,0,350,418.3,0,0,8100,0.035029337,0.299062965,0,1.532533497,1.831596462,0.009435772,Venezuela,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Venezuela,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Venezuela,2010
0,0,0,0,0,,,,0,0,0,0,0,,Vietnam,1950
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vietnam,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vietnam,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vietnam,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vietnam,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vietnam,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vietnam,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wallis and Futuna,1960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wallis and Futuna,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wallis and Futuna,1980
0.5,2,0,0,2,0,0,0,3.571428571,14.28571429,0,0,14.28571429,0,Wallis and Futuna,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wallis and Futuna,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wallis and Futuna,2010
15314.8,250.8,45438.9,13585.2,59274.9,,,,0.892011267,0.014746755,2.669893583,0.794727352,3.47936769,,World,1900
7031.1,253.4,0,7399.8,7653.2,,,,0.3895106,0.01426372,0,0.4148166,0.429080319,,World,1910
38998.6,10909.9,12946.3,21058.7,44914.9,,,,2.054699399,0.569407747,0.670632186,1.058781364,2.298821297,,World,1920
16666.4,10569.5,3451.4,36799.1,50820,,,,0.7539767,0.471491822,0.164577169,1.679125256,2.315194247,,World,1930
16772.8,6870.9,24411,59007.7,90289.6,,,,0.693810352,0.289860356,1.015852379,2.465000572,3.770713307,,World,1940
2174.8,2307.3,8608.6,47960.6,58876.5,,,,0.079961393,0.082914024,0.315413784,1.812931866,2.211259675,,World,1950
5211.9,5844.5,357229.6,44270.1,407344.2,0,500,485238.9,0.160957103,0.182214364,11.15861933,1.279704463,12.62053816,0.028176221,World,1960
43188.1,48392.4,1421572.2,264348.1,1734312.7,0,13700,1711105.5,1.065790431,1.213381856,35.9995932,6.364628048,43.57760311,0.02890618,World,1970
5837.2,12394.5,2980855.2,263581,3256830.7,0,74100,6031047.2,0.118651887,0.257168377,59.01187412,5.372141958,64.64118445,0.043403255,World,1980
10347.8,34120.6,1920307.1,507799,2462226.7,3500000,1689190,19572631.2,0.184259454,0.604438445,33.02076184,8.706430549,42.33163083,0.065276266,World,1990
45363.5,95408.8,7045848.8,1113092.2,8254349.8,520000,466104.1,17416623.1,0.695515464,1.452083647,105.7702277,17.22699294,124.4493043,0.033101452,World,2000
26748,52858.5,3519072.4,149943.9,3721874.8,1644930,7945880,37059263.1,0.382284012,0.745350141,48.34617368,2.11787325,51.20939707,0.050439158,World,2010
1,3.9,0,4000,4003.9,0,0,0,0.00812876,0.031702162,0,32.51503821,32.54674037,0,Yemen,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yemen,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yemen,2010
1.9,0,0,0,0,,,,0,0,0,0,0,,Yugoslavia,1940
0,0,0,0,0,,,,0,0,0,0,0,,Yugoslavia,1950
109.3,451.6,23140,9040,32631.6,0,0,110860,0,0,0,0,0,0,Yugoslavia,1960
12.1,18,30000,1000,31018,0,0,45000,0,0,0,0,0,0,Yugoslavia,1970
1.2,16,650,0,666,0,0,500,0,0,0,0,0,0,Yugoslavia,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yugoslavia,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zambia,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zambia,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zambia,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zambia,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zambia,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,1980
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,1990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,2000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,2010
